               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 100,             0.01532,           0.0044766,                   0,             0.99975,                   1,               0.995,             0.71909,            0.019941,           0.0047589,                   0,            0.006733,            0.006733,            0.006733
                 101,            0.014863,            0.004411,                   0,             0.99975,                   1,               0.995,             0.72699,            0.019563,            0.004679,                   0,              0.0067,              0.0067,              0.0067
                 102,            0.014826,            0.004388,                   0,             0.99976,                   1,               0.995,             0.71137,             0.02067,           0.0048208,                   0,            0.006667,            0.006667,            0.006667
                 103,            0.014787,            0.004351,                   0,             0.99977,                   1,               0.995,             0.72048,            0.020258,           0.0048362,                   0,            0.006634,            0.006634,            0.006634
                 104,             0.01446,           0.0043441,                   0,             0.99981,                   1,               0.995,             0.72609,            0.019736,           0.0048745,                   0,            0.006601,            0.006601,            0.006601
                 105,            0.014578,           0.0044085,                   0,             0.99976,                   1,               0.995,             0.72268,             0.01992,            0.004895,                   0,            0.006568,            0.006568,            0.006568
                 106,            0.014666,           0.0043932,                   0,             0.99969,                   1,               0.995,             0.71522,            0.020174,           0.0049044,                   0,            0.006535,            0.006535,            0.006535
                 107,            0.014577,            0.004323,                   0,             0.99978,                   1,               0.995,             0.71909,            0.020107,           0.0048121,                   0,            0.006502,            0.006502,            0.006502
                 108,            0.014328,           0.0044108,                   0,             0.99976,                   1,               0.995,              0.7175,             0.01993,           0.0049035,                   0,            0.006469,            0.006469,            0.006469
                 109,            0.014567,           0.0043883,                   0,              0.9998,                   1,               0.995,             0.71003,            0.020496,           0.0048796,                   0,            0.006436,            0.006436,            0.006436
                 110,            0.014004,           0.0043143,                   0,             0.99965,                   1,               0.995,             0.71511,            0.020328,           0.0049489,                   0,            0.006403,            0.006403,            0.006403
                 111,            0.014507,           0.0042455,                   0,             0.99933,                   1,               0.995,             0.71252,            0.020062,           0.0049889,                   0,             0.00637,             0.00637,             0.00637
                 112,            0.014352,           0.0042843,                   0,             0.99982,                   1,               0.995,             0.72278,            0.019852,           0.0049283,                   0,            0.006337,            0.006337,            0.006337
                 113,            0.014133,           0.0043227,                   0,             0.99978,                   1,               0.995,             0.71668,            0.020138,           0.0050008,                   0,            0.006304,            0.006304,            0.006304
                 114,            0.014175,           0.0042307,                   0,              0.9996,                   1,               0.995,             0.71972,            0.019782,           0.0049965,                   0,            0.006271,            0.006271,            0.006271
                 115,            0.014056,           0.0042143,                   0,             0.99976,                   1,               0.995,             0.72099,            0.020129,           0.0050545,                   0,            0.006238,            0.006238,            0.006238
                 116,            0.014177,           0.0041971,                   0,             0.99962,                   1,               0.995,             0.71776,            0.019794,           0.0049594,                   0,            0.006205,            0.006205,            0.006205
                 117,            0.014216,            0.004118,                   0,                   1,             0.99987,               0.995,             0.72393,            0.019646,            0.004936,                   0,            0.006172,            0.006172,            0.006172
                 118,             0.01391,           0.0039941,                   0,                   1,             0.99959,               0.995,             0.72872,            0.020017,           0.0050526,                   0,            0.006139,            0.006139,            0.006139
                 119,            0.014283,           0.0042634,                   0,             0.99636,                   1,               0.995,             0.71425,            0.020507,            0.004972,                   0,            0.006106,            0.006106,            0.006106
                 120,            0.013822,           0.0041194,                   0,             0.99931,                   1,               0.995,             0.72323,            0.019638,           0.0049612,                   0,            0.006073,            0.006073,            0.006073
                 121,            0.013876,            0.004165,                   0,             0.99953,                   1,               0.995,             0.72087,            0.019681,           0.0049275,                   0,             0.00604,             0.00604,             0.00604
                 122,            0.013634,           0.0040658,                   0,             0.99976,                   1,               0.995,             0.72251,            0.020359,           0.0049808,                   0,            0.006007,            0.006007,            0.006007
                 123,            0.013777,           0.0041323,                   0,             0.99925,                   1,               0.995,             0.72187,            0.019991,           0.0048488,                   0,            0.005974,            0.005974,            0.005974
                 124,             0.01342,            0.003998,                   0,             0.99958,                   1,               0.995,             0.71858,            0.020077,           0.0050657,                   0,            0.005941,            0.005941,            0.005941
                 125,            0.013662,           0.0042007,                   0,             0.99977,                   1,               0.995,             0.72418,              0.0199,           0.0049761,                   0,            0.005908,            0.005908,            0.005908
